Support Library class,Android X class
android.arch.persistence.room.EntityInsertionAdapter,androidx.room.EntityInsertionAdapter
android.arch.persistence.room.ext.AndroidTypeNames,androidx.room.ext.AndroidTypeNames
android.arch.persistence.room.ext.ArchTypeNames,androidx.room.ext.ArchTypeNames
android.arch.persistence.room.ext.CommonTypeNames,androidx.room.ext.CommonTypeNames
android.arch.persistence.room.ext.Element_extKt,androidx.room.ext.Element_extKt
android.arch.persistence.room.ext.GuavaBaseTypeNames,androidx.room.ext.GuavaBaseTypeNames
android.arch.persistence.room.ext.GuavaUtilConcurrentTypeNames,androidx.room.ext.GuavaUtilConcurrentTypeNames
android.arch.persistence.room.ext.Javapoet_extKt,androidx.room.ext.Javapoet_extKt
android.arch.persistence.room.ext.KotlinMetadataProcessor,androidx.room.ext.KotlinMetadataProcessor
android.arch.persistence.room.ext.LifecyclesTypeNames,androidx.room.ext.LifecyclesTypeNames
android.arch.persistence.room.ext.PagingTypeNames,androidx.room.ext.PagingTypeNames
android.arch.persistence.room.ext.ReactiveStreamsTypeNames,androidx.room.ext.ReactiveStreamsTypeNames
android.arch.persistence.room.ext.RoomGuavaTypeNames,androidx.room.ext.RoomGuavaTypeNames
android.arch.persistence.room.ext.RoomRxJava2TypeNames,androidx.room.ext.RoomRxJava2TypeNames
android.arch.persistence.room.ext.RoomTypeNames,androidx.room.ext.RoomTypeNames
android.arch.persistence.room.ext.RxJava2TypeNames,androidx.room.ext.RxJava2TypeNames
android.arch.persistence.room.ext.SupportDbTypeNames,androidx.room.ext.SupportDbTypeNames
android.arch.persistence.room.ForeignKey,androidx.room.ForeignKey
android.arch.persistence.room.guava.GuavaRoom,androidx.room.guava.GuavaRoom
android.arch.persistence.room.Ignore,androidx.room.Ignore
android.arch.persistence.room.Index,androidx.room.Index
android.arch.persistence.room.Insert,androidx.room.Insert
android.arch.persistence.room.InvalidationTracker,androidx.room.InvalidationTracker
android.arch.persistence.room.log.RLog,androidx.room.log.RLog
android.arch.persistence.room.migration.bundle.BundleUtil,androidx.room.migration.bundle.BundleUtil
android.arch.persistence.room.migration.bundle.DatabaseBundle,androidx.room.migration.bundle.DatabaseBundle
android.arch.persistence.room.migration.bundle.EntityBundle,androidx.room.migration.bundle.EntityBundle
android.arch.persistence.room.migration.bundle.FieldBundle,androidx.room.migration.bundle.FieldBundle
android.arch.persistence.room.migration.bundle.ForeignKeyBundle,androidx.room.migration.bundle.ForeignKeyBundle
android.arch.persistence.room.migration.bundle.IndexBundle,androidx.room.migration.bundle.IndexBundle
android.arch.persistence.room.migration.bundle.PrimaryKeyBundle,androidx.room.migration.bundle.PrimaryKeyBundle
android.arch.persistence.room.migration.bundle.SchemaBundle,androidx.room.migration.bundle.SchemaBundle
android.arch.persistence.room.migration.bundle.SchemaEquality,androidx.room.migration.bundle.SchemaEquality
android.arch.persistence.room.migration.bundle.SchemaEqualityUtil,androidx.room.migration.bundle.SchemaEqualityUtil
android.arch.persistence.room.migration.Migration,androidx.room.migration.Migration
android.arch.persistence.room.OnConflictStrategy,androidx.room.OnConflictStrategy
android.arch.persistence.room.paging.LimitOffsetDataSource,androidx.room.paging.LimitOffsetDataSource
android.arch.persistence.room.parser.Collate,androidx.room.parser.Collate
android.arch.persistence.room.parser.ParsedQuery,androidx.room.parser.ParsedQuery
android.arch.persistence.room.parser.ParserErrors,androidx.room.parser.ParserErrors
android.arch.persistence.room.parser.QueryType,androidx.room.parser.QueryType
android.arch.persistence.room.parser.QueryVisitor,androidx.room.parser.QueryVisitor
android.arch.persistence.room.parser.Section,androidx.room.parser.Section
android.arch.persistence.room.parser.SectionType,androidx.room.parser.SectionType
android.arch.persistence.room.parser.SQLiteBaseListener,androidx.room.parser.SQLiteBaseListener
android.arch.persistence.room.parser.SQLiteBaseVisitor,androidx.room.parser.SQLiteBaseVisitor
android.arch.persistence.room.parser.SQLiteLexer,androidx.room.parser.SQLiteLexer
android.arch.persistence.room.parser.SQLiteListener,androidx.room.parser.SQLiteListener
android.arch.persistence.room.parser.SQLiteParser,androidx.room.parser.SQLiteParser
android.arch.persistence.room.parser.SQLiteVisitor,androidx.room.parser.SQLiteVisitor
android.arch.persistence.room.parser.SqlParser,androidx.room.parser.SqlParser
android.arch.persistence.room.parser.SQLTypeAffinity,androidx.room.parser.SQLTypeAffinity
android.arch.persistence.room.parser.Table,androidx.room.parser.Table
android.arch.persistence.room.preconditions.Checks,androidx.room.preconditions.Checks
android.arch.persistence.room.PrimaryKey,androidx.room.PrimaryKey
android.arch.persistence.room.processor.cache.Cache,androidx.room.processor.cache.Cache
android.arch.persistence.room.processor.Context,androidx.room.processor.Context
android.arch.persistence.room.processor.CustomConverterProcessor,androidx.room.processor.CustomConverterProcessor
android.arch.persistence.room.processor.DaoProcessor,androidx.room.processor.DaoProcessor
android.arch.persistence.room.processor.DatabaseProcessor,androidx.room.processor.DatabaseProcessor
android.arch.persistence.room.processor.DeletionMethodProcessor,androidx.room.processor.DeletionMethodProcessor
android.arch.persistence.room.processor.EntityProcessor,androidx.room.processor.EntityProcessor
android.arch.persistence.room.processor.FieldProcessor,androidx.room.processor.FieldProcessor
android.arch.persistence.room.processor.InsertionMethodProcessor,androidx.room.processor.InsertionMethodProcessor
android.arch.persistence.room.processor.OnConflictProcessor,androidx.room.processor.OnConflictProcessor
android.arch.persistence.room.processor.PojoMethodProcessor,androidx.room.processor.PojoMethodProcessor
android.arch.persistence.room.processor.PojoProcessor,androidx.room.processor.PojoProcessor
android.arch.persistence.room.processor.ProcessorErrors,androidx.room.processor.ProcessorErrors
android.arch.persistence.room.processor.QueryMethodProcessor,androidx.room.processor.QueryMethodProcessor
android.arch.persistence.room.processor.QueryParameterProcessor,androidx.room.processor.QueryParameterProcessor
android.arch.persistence.room.processor.RawQueryMethodProcessor,androidx.room.processor.RawQueryMethodProcessor
android.arch.persistence.room.processor.ShortcutMethodProcessor,androidx.room.processor.ShortcutMethodProcessor
android.arch.persistence.room.processor.ShortcutParameterProcessor,androidx.room.processor.ShortcutParameterProcessor
android.arch.persistence.room.processor.SuppressWarningProcessor,androidx.room.processor.SuppressWarningProcessor
android.arch.persistence.room.processor.TransactionMethodProcessor,androidx.room.processor.TransactionMethodProcessor
android.arch.persistence.room.processor.UpdateMethodProcessor,androidx.room.processor.UpdateMethodProcessor
android.arch.persistence.room.Query,androidx.room.Query
android.arch.persistence.room.RawQuery,androidx.room.RawQuery
android.arch.persistence.room.Relation,androidx.room.Relation
android.arch.persistence.room.Room,androidx.room.Room
android.arch.persistence.room.RoomDatabase,androidx.room.RoomDatabase
android.arch.persistence.room.RoomMasterTable,androidx.room.RoomMasterTable
android.arch.persistence.room.RoomOpenHelper,androidx.room.RoomOpenHelper
android.arch.persistence.room.RoomProcessor,androidx.room.RoomProcessor
android.arch.persistence.room.RoomSQLiteQuery,androidx.room.RoomSQLiteQuery
android.arch.persistence.room.RoomWarnings,androidx.room.RoomWarnings
android.arch.persistence.room.RxRoom,androidx.room.RxRoom
android.arch.persistence.room.SharedSQLiteStatement,androidx.room.SharedSQLiteStatement
android.arch.persistence.room.SkipQueryVerification,androidx.room.SkipQueryVerification
android.arch.persistence.room.solver.binderprovider.CursorQueryResultBinderProvider,androidx.room.solver.binderprovider.CursorQueryResultBinderProvider
android.arch.persistence.room.solver.binderprovider.DataSourceFactoryQueryResultBinderProvider,androidx.room.solver.binderprovider.DataSourceFactoryQueryResultBinderProvider
android.arch.persistence.room.solver.binderprovider.DataSourceQueryResultBinderProvider,androidx.room.solver.binderprovider.DataSourceQueryResultBinderProvider
android.arch.persistence.room.solver.binderprovider.FlowableQueryResultBinderProvider,androidx.room.solver.binderprovider.FlowableQueryResultBinderProvider
android.arch.persistence.room.solver.binderprovider.GuavaListenableFutureQueryResultBinderProvider,androidx.room.solver.binderprovider.GuavaListenableFutureQueryResultBinderProvider
